id,crop,disease,causal_agent,symptoms_identification,organic_control,chemical_control
945,Arhar (Pigeon pea),Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
946,Arhar (Pigeon pea),Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
947,Arhar (Pigeon pea),Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
948,Arhar (Pigeon pea),Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
101,Bajra,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks and downy growth underneath; stunting and poor yield. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
102,Bajra,Turcicum Leaf Blight,Exserohilum turcicum,Elongated lesions; leaves may die back. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
103,Bajra,Stalk Rot,Fusarium/Colletotrichum,Rotten stalks causing lodging and yield loss. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
104,Bajra,Ear Rot,Fusarium/Aspergillus,"Moldy ears, mycotoxin risk for storage. Occurs frequently under stress or high nitrogen levels.",Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
105,Bajra,Maize Mosaic,Potyvirus,"Mosaic symptoms, dwarfing and reduced kernels. Often noticed in dense canopies and late season.",Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
564,Banana,Anthracnose,Colletotrichum spp.,Sunken dark lesions on fruits and stems; latent infections in fruit. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
565,Banana,Powdery Mildew,Podosphaera spp.,White powder on leaves and fruits; distortion of young growth. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
566,Banana,Wilt,Fusarium/Verticillium,"Wilting, yellowing and vascular browning in stems. Occurs frequently under stress or high nitrogen levels.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
567,Banana,Fruit Rot,Phytophthora/Alternaria,Soft rot of fruits often post-harvest or in humid conditions. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
29,Barley,Rust,Puccinia spp.,"Orange/rust pustules on leaves and stems, reducing photosynthetic area. Common after heavy rainfall or poor drainage.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
30,Barley,Powdery Mildew,Blumeria graminis,White powder on leaves; stunted growth and reduced grain. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
31,Barley,Karnal Bunt,Tilletia indica,"Dark, foul-smelling grains; affects trade quality. Occurs frequently under stress or high nitrogen levels.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
32,Barley,Fusarium Head Blight,Fusarium spp.,Bleached spikelets with pinkish mold under humid conditions. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
33,Barley,Loose Smut,Ustilago tritici,Spikelets replaced by black spore masses. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
76,Barnyard Millet,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks and downy growth underneath; stunting and poor yield. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
77,Barnyard Millet,Turcicum Leaf Blight,Exserohilum turcicum,Elongated lesions; leaves may die back. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
78,Barnyard Millet,Stalk Rot,Fusarium/Colletotrichum,Rotten stalks causing lodging and yield loss. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
79,Barnyard Millet,Ear Rot,Fusarium/Aspergillus,"Moldy ears, mycotoxin risk for storage. Symptoms worsen in humid conditions.",Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
80,Barnyard Millet,Maize Mosaic,Potyvirus,"Mosaic symptoms, dwarfing and reduced kernels. Often noticed in dense canopies and late season.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
832,Basil,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
833,Basil,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
834,Basil,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
835,Basil,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
836,Basil,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
409,Bitter Gourd,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
410,Bitter Gourd,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
411,Bitter Gourd,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
412,Bitter Gourd,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
413,Bitter Gourd,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
141,Black Gram,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
142,Black Gram,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
143,Black Gram,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
144,Black Gram,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
145,Black Gram,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
790,Black Pepper,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
791,Black Pepper,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
792,Black Pepper,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
793,Black Pepper,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
794,Black Pepper,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
397,Bottle Gourd,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
398,Bottle Gourd,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
399,Bottle Gourd,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
400,Bottle Gourd,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
401,Bottle Gourd,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
347,Brinjal,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
348,Brinjal,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
349,Brinjal,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
350,Brinjal,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
351,Brinjal,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
366,Cabbage,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
367,Cabbage,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
368,Cabbage,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
369,Cabbage,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
370,Cabbage,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
800,Cardamom,Fusarium Wilt,Fusarium spp.,"Wilting, yellowing and vascular discoloration in roots/stems. Often noticed in dense canopies and late season.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
801,Cardamom,Phytophthora Rot,Phytophthora spp.,Stem/root rots causing collapse. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
802,Cardamom,Leaf Spot,Alternaria/Cercospora,Brown/black spots leading to defoliation. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
693,Cashew,Bud Rot,Phytophthora palmivora,Rotting of bud/inflorescence leading to sudden collapse in palms. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
694,Cashew,Lethal Yellowing,Phytoplasma,Yellowing and premature fruit drop causing death. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
695,Cashew,Ganoderma Root Rot,Ganoderma spp.,"Basal stem decay, conks at base, eventual collapse. Occurs frequently under stress or high nitrogen levels.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
230,Castor,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
231,Castor,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
232,Castor,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
233,Castor,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
234,Castor,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
378,Cauliflower,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
379,Cauliflower,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
380,Cauliflower,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
381,Cauliflower,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
382,Cauliflower,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
111,Chickpea,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
112,Chickpea,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
113,Chickpea,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
114,Chickpea,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
115,Chickpea,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
274,Chili,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
275,Chili,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
276,Chili,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
277,Chili,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
278,Chili,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
524,Coconut,Bud Rot,Phytophthora palmivora,Rotting of bud/inflorescence leading to sudden collapse in palms. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
525,Coconut,Lethal Yellowing,Phytoplasma,Yellowing and premature fruit drop causing death. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
526,Coconut,Ganoderma Root Rot,Ganoderma spp.,"Basal stem decay, conks at base, eventual collapse. Common after heavy rainfall or poor drainage.",Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
513,Coffee,Blister Blight,Exobasidium vexans,Blister-like pale spots on young leaves in tea; defoliation in severe cases. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
514,Coffee,Coffee Rust,Hemileia vastatrix,Orange powdery spores on leaf underside; premature leaf drop. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
515,Coffee,Root Knot,Meloidogyne spp.,"Root galls, stunting and nutrient deficiency in coffee. Symptoms worsen in humid conditions.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
905,Coffee (Robusta),Blister Blight,Exobasidium vexans,Blister-like pale spots on young leaves in tea; defoliation in severe cases. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
906,Coffee (Robusta),Coffee Rust,Hemileia vastatrix,Orange powdery spores on leaf underside; premature leaf drop. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
907,Coffee (Robusta),Root Knot,Meloidogyne spp.,"Root galls, stunting and nutrient deficiency in coffee. Occurs frequently under stress or high nitrogen levels.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
